bundle_id,member_lexemes_fixed_expressions,surface_forms_by_language,semantic_function,introduction_lesson_id,prerequisite_bundle_ids,mode,associated_world_id,associated_point_id,permitted_use_after_introduction,status
LEX-P-PASS-001,"[""by""]","{""en-US"":[""by""]}","passive family, first in visible processes; later active/passive contrast and agent `by`.",L116,"[""LEX-P-REL-001"",""LEX-P-TNS-002"",""LEX-W-EAR-003""]",PRODUCTIVE,,P-PASS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PAT-001,"[""every/every other/again""]","{""en-US"":[""every/every other/again""]}",repetition `every/every other/again`.,L090,"[""LEX-P-SEQ-001"",""LEX-W-MATH-012""]",PRODUCTIVE,,P-PAT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PATH-001,"[""to/from/into/out of/through""]","{""en-US"":[""to/from/into/out of/through""]}",`to/from/into/out of/through`.,L040,"[""LEX-W-GEO-001"",""LEX-P-SPAT-001""]",PRODUCTIVE,,P-PATH-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PERF-001,"[""present"",""perfect"",""past""]","{""en-US"":[""present"",""perfect"",""past""]}",present perfect and later past perfect.,L219,"[""LEX-P-TNS-003"",""LEX-P-CHANGE-002"",""LEX-W-HIS-002""]",PRODUCTIVE,,P-PERF-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-POSS-001,"[""my/your/his/her/..."",""'s""]","{""en-US"":[""my/your/his/her/..."",""'s""]}",Possessives `my/your/his/her/...` and `'s`.,L025,"[""LEX-P-ID-001"",""LEX-P-NUM-001"",""LEX-W-OBJ-002""]",PRODUCTIVE,,P-POSS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PREF-001,"[""like/love/dislike + noun/-ing""]","{""en-US"":[""like/love/dislike + noun/-ing""]}",`like/love/dislike + noun/-ing`.,L057,"[""LEX-P-TNS-002"",""LEX-W-PSY-001""]",PRODUCTIVE,,P-PREF-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PREVENT-001,"[""prevent/keep X from -ing""]","{""en-US"":[""prevent/keep X from -ing""]}",`prevent/keep X from -ing`.,L207,"[""LEX-W-SEC-001"",""LEX-P-CAU-004""]",PRODUCTIVE,,P-PREVENT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PRON-001,"[""subject"",""object"",""pronouns""]","{""en-US"":[""subject"",""object"",""pronouns""]}",subject/object pronouns.,L006,"[""LEX-W-CHR-001"",""LEX-P-ID-001""]",PRODUCTIVE,,P-PRON-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PRON-002,"[""clear"",""pronoun"",""antecedents"",""explicit"",""repair"",""ambiguity""]","{""en-US"":[""clear"",""pronoun"",""antecedents"",""explicit"",""repair"",""ambiguity""]}",clear pronoun antecedents and explicit repair of ambiguity.,L287,"[""LEX-P-PRON-001"",""LEX-W-EPI-012"",""LEX-P-EPI-002""]",PRODUCTIVE,,P-PRON-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PURP-001,"[""need X to..."",""so that""]","{""en-US"":[""need X to..."",""so that""]}","purpose: `need X to...`, infinitive purpose, `so that`.",L232,"[""LEX-W-PHY-005"",""LEX-P-NEED-001""]",PRODUCTIVE,,P-PURP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-001,"[""Who are you?""]","{""en-US"":[""Who are you?""]}",Agent-identity question `Who are you?` / `Who is X?`.,L000,"[""LEX-P-ID-001""]",PRODUCTIVE,,P-Q-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-002,"[""Are you X or Y?""]","{""en-US"":[""Are you X or Y?""]}",`or` alternative question.,L000,"[""LEX-P-ID-001""]",PRODUCTIVE,,P-Q-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-003,"[""where?""]","{""en-US"":[""where?""]}",`where?`,L011,"[""LEX-W-OBJ-001"",""LEX-P-SPAT-001""]",PRODUCTIVE,,P-Q-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-004,"[""which?""]","{""en-US"":[""which?""]}",`which?` among an identified set.,L041,"[""LEX-P-DET-003"",""LEX-W-GEO-001"",""LEX-P-Q-002""]",PRODUCTIVE,,P-Q-004,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-005,"[""when?""]","{""en-US"":[""when?""]}",`when?` temporal query.,L055,"[""LEX-P-TNS-002"",""LEX-W-TIME-001""]",PRODUCTIVE,,P-Q-005,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-006,"[""be"",""do/does""]","{""en-US"":[""be"",""do/does""]}",productive yes/no questions with `be` and `do/does`.,L018,"[""LEX-W-EVT-001"",""LEX-P-ID-001"",""LEX-P-TNS-002""]",PRODUCTIVE,,P-Q-006,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-Q-007,"[""What is this?"",""What is X?""]","{""en-US"":[""What is this?"",""What is X?""]}",Object/type question `What is this?` / `What is X?`.,L008,"[""LEX-P-ID-001"",""LEX-P-DET-001"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-Q-007,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-QNT-001,"[""how many?"",""no/none/not any""]","{""en-US"":[""how many?"",""no/none/not any""]}",`how many?` and zero responses `no/none/not any`.,L044,"[""LEX-W-MATH-001"",""LEX-P-NUM-001""]",PRODUCTIVE,,P-QNT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-QNT-002,"[""some/any"",""many/much/a lot of""]","{""en-US"":[""some/any"",""many/much/a lot of""]}",`some/any`; `many/much/a lot of`; partitives.,L093,"[""LEX-W-MAT-001"",""LEX-P-NOUN-001""]",PRODUCTIVE,,P-QNT-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-QNT-003,"[""each/every/all""]","{""en-US"":[""each/every/all""]}",distributives `each/every/all`.,L066,"[""LEX-P-QNT-001"",""LEX-W-MATH-005""]",PRODUCTIVE,,P-QNT-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-QNT-004,"[""some...others...""]","{""en-US"":[""some...others...""]}",contrastive quantification `some...others...`.,L105,"[""LEX-P-QNT-003"",""LEX-W-PHY-004""]",PRODUCTIVE,,P-QNT-004,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REAL-001,"[""real/imaginary/about""]","{""en-US"":[""real/imaginary/about""]}",`real/imaginary/about`.,L213,"[""LEX-W-LIT-003"",""LEX-P-REP-001""]",PRODUCTIVE,,P-REAL-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REFINE-001,"[""more precisely/in other words""]","{""en-US"":[""more precisely/in other words""]}",`more precisely/in other words`.,L293,"[""LEX-W-EPI-002"",""LEX-P-DEF-001"",""LEX-P-EPI-002""]",PRODUCTIVE,,P-REFINE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REG-001,"[""formal"",""informal"",""register"",""adaptation""]","{""en-US"":[""formal"",""informal"",""register"",""adaptation""]}",formal/informal register adaptation.,L217,"[""LEX-P-SOC-004"",""LEX-P-SOC-002"",""LEX-P-SOC-009"",""LEX-P-SOC-006"",""LEX-W-REG-001"",""LEX-P-SOC-005"",""LEX-P-SOC-001"",""LEX-P-SOC-010"",""LEX-P-SOC-003""]",PRODUCTIVE,,P-REG-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REL-001,"[""by""]","{""en-US"":[""by""]}",`by` as means/channel.,L032,"[""LEX-W-ONT-002"",""LEX-P-ID-001""]",PRODUCTIVE,,P-REL-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-RELCL-001,"[""who/which/that""]","{""en-US"":[""who/which/that""]}",relative clauses `who/which/that`.,L241,"[""LEX-P-PRON-001"",""LEX-W-BIO-009"",""LEX-P-DET-002""]",PRODUCTIVE,,P-RELCL-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REP-001,"[""represents/stands for""]","{""en-US"":[""represents/stands for""]}",`represents/stands for`.,L028,"[""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-W-REP-001""]",PRODUCTIVE,,P-REP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-REPORT-001,"[""say/tell""]","{""en-US"":[""say/tell""]}",direct speech vs reported `say/tell`.,L211,"[""LEX-P-TNS-003"",""LEX-W-LIT-002"",""LEX-P-COM-002""]",PRODUCTIVE,,P-REPORT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-RESP-001,"[""responsible for"",""allowed to""]","{""en-US"":[""responsible for"",""allowed to""]}","responsibility/permission: `responsible for`, `allowed to`.",L264,"[""LEX-P-MOD-003"",""LEX-P-MOD-004"",""LEX-W-CIV-002""]",PRODUCTIVE,,P-RESP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SEARCH-001,"[""look for"",""find""]","{""en-US"":[""look for"",""find""]}",`look for` vs `find`.,L203,"[""LEX-W-COMP-006"",""LEX-P-COMP-001""]",PRODUCTIVE,,P-SEARCH-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SENT-001,"[""compound"",""complex"",""sentence"",""composition""]","{""en-US"":[""compound"",""complex"",""sentence"",""composition""]}",simple/compound/complex sentence composition.,L288,"[""LEX-P-DISC-001"",""LEX-W-EPI-007"",""LEX-P-CONTR-001"",""LEX-P-RELCL-001"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-SENT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SEQ-001,"[""How...? First/next/then/finally""]","{""en-US"":[""How...? First/next/then/finally""]}",procedural query/explanation: `How...? First/next/then/finally`.,L023,"[""LEX-P-IMP-001"",""LEX-W-EVT-002""]",PRODUCTIVE,,P-SEQ-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SHAPE-001,"[""shaped like"",""has N sides/faces""]","{""en-US"":[""shaped like"",""has N sides/faces""]}","`shaped like`, `has N sides/faces`.",L071,"[""LEX-W-MATH-007"",""LEX-P-DESC-001"",""LEX-W-MATH-008""]",PRODUCTIVE,,P-SHAPE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SIM-001,"[""similar to/different from/same as"",""both...and""]","{""en-US"":[""similar to/different from/same as"",""both...and""]}",`similar to/different from/same as`; paired `both...and`.,L244,"[""LEX-P-CMP-002"",""LEX-W-BIO-011""]",PRODUCTIVE,,P-SIM-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-001,"[""Hello!"",""Good morning!""]","{""en-US"":[""Hello!"",""Good morning!""]}","Greetings used to open an encounter: `Hello!`, `Good morning!`.",L000,[],PRODUCTIVE,,P-SOC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-002,"[""Nice to meet you!"",""Nice to meet you, too.""]","{""en-US"":[""Nice to meet you!"",""Nice to meet you, too.""]}","Meeting reciprocity: `Nice to meet you!` / `Nice to meet you, too.`",L000,"[""LEX-P-SOC-001"",""LEX-P-ID-001""]",PRODUCTIVE,,P-SOC-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-003,"[""This is X"",""X"",""this is Y""]","{""en-US"":[""This is X"",""X"",""this is Y""]}","Introduce another person: `This is X`; `X, this is Y`.",L048,"[""LEX-P-Q-001"",""LEX-P-ID-001""]",PRODUCTIVE,,P-SOC-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-004,"[""I don't understand"",""What does X mean?"",""Can you say that another way?""]","{""en-US"":[""I don't understand"",""What does X mean?"",""Can you say that another way?""]}",Repair/clarification: `I don't understand`; `What does X mean?`; `Can you say that another way?`,L034,"[""LEX-P-Q-001"",""LEX-W-SOC-002"",""LEX-P-ID-001""]",PRODUCTIVE,,P-SOC-004,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-005,"[""Can you ... please?""]","{""en-US"":[""Can you ... please?""]}",Polite request `Can you ... please?`,L050,"[""LEX-W-SOC-003"",""LEX-P-SOC-002""]",PRODUCTIVE,,P-SOC-005,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-006,"[""sorry"",""excuse me""]","{""en-US"":[""sorry"",""excuse me""]}","apology/attention: `sorry`, `excuse me`.",L186,"[""LEX-W-SOC-004"",""LEX-P-SOC-001""]",PRODUCTIVE,,P-SOC-006,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-007,"[""congratulation"",""wishes""]","{""en-US"":[""congratulation"",""wishes""]}",congratulation/wishes.,L179,"[""LEX-P-SOC-001"",""LEX-W-CUL-004""]",PRODUCTIVE,,P-SOC-007,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-008,"[""Would you like...?""]","{""en-US"":[""Would you like...?""]}",offers/invitations: `Would you like...?`; polite accept/decline.,L059,"[""LEX-P-PREF-001"",""LEX-W-SOC-003"",""LEX-P-SOC-002""]",PRODUCTIVE,,P-SOC-008,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-009,"[""Thank you."",""Thanks."",""You're welcome.""]","{""en-US"":[""Thank you."",""Thanks."",""You're welcome.""]}","Thanking and response: `Thank you.`, `Thanks.`, `You're welcome.`",L051,"[""LEX-W-SOC-003"",""LEX-P-SOC-001""]",PRODUCTIVE,,P-SOC-009,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOC-010,"[""Goodbye."",""See you later.""]","{""en-US"":[""Goodbye."",""See you later.""]}","Farewells: `Goodbye.`, `See you later.`",L052,"[""LEX-W-CHR-001"",""LEX-P-SOC-001""]",PRODUCTIVE,,P-SOC-010,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SOURCE-001,"[""comes from""]","{""en-US"":[""comes from""]}",source relation `comes from`.,L109,"[""LEX-W-PHY-009"",""LEX-P-PATH-001""]",PRODUCTIVE,,P-SOURCE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SPAT-001,"[""in/on/under/above/beside/next to""]","{""en-US"":[""in/on/under/above/beside/next to""]}",`in/on/under/above/beside/next to`.,L010,"[""LEX-P-DET-002"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-SPAT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SRC-001,"[""according to"",""based on"",""supported by""]","{""en-US"":[""according to"",""based on"",""supported by""]}","evidence/source attribution: `according to`, `based on`, `supported by`.",L274,"[""LEX-W-EPI-003"",""LEX-P-EPI-003""]",PRODUCTIVE,,P-SRC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-STATE-001,"[""feel + adj"",""have + symptom noun""]","{""en-US"":[""feel + adj"",""have + symptom noun""]}",`feel + adj` / `have + symptom noun`.,L228,"[""LEX-P-DESC-001"",""LEX-W-BODY-003"",""LEX-W-BODY-004""]",PRODUCTIVE,,P-STATE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SUM-001,"[""overall/in summary""]","{""en-US"":[""overall/in summary""]}",`overall/in summary`.,L294,"[""LEX-W-LIT-001"",""LEX-P-SENT-001""]",PRODUCTIVE,,P-SUM-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-SYS-001,"[""work together to""]","{""en-US"":[""work together to""]}",`work together to`; system/component composition language.,L127,"[""LEX-W-ENG-001"",""LEX-P-PART-001"",""LEX-P-FUNC-002""]",PRODUCTIVE,,P-SYS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-TIME-001,"[""at/on/in"",""before/after/during/for""]","{""en-US"":[""at/on/in"",""before/after/during/for""]}","temporal `at/on/in`, `before/after/during/for`.",L078,"[""LEX-P-Q-005"",""LEX-W-TIME-002"",""LEX-W-TIME-001""]",PRODUCTIVE,,P-TIME-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-TNS-001,"[""will""]","{""en-US"":[""will""]}",`will` for a later commitment/prediction at introductory level.,L081,"[""LEX-P-ID-001"",""LEX-W-SOC-005""]",PRODUCTIVE,,P-TNS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-TNS-002,"[""-s""]","{""en-US"":[""-s""]}","simple present for habits/general routines, including third-person `-s`.",L016,"[""LEX-W-EVT-001"",""LEX-P-ASP-001""]",PRODUCTIVE,,P-TNS-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-TNS-003,"[""past"",""introduced"",""separately"",""future"",""narrative""]","{""en-US"":[""past"",""introduced"",""separately"",""future"",""narrative""]}","simple past, introduced separately from future; later narrative past.",L082,"[""LEX-W-TIME-003"",""LEX-P-TNS-002"",""LEX-P-TIME-001""]",PRODUCTIVE,,P-TNS-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-WORK-001,"[""work as/at/for""]","{""en-US"":[""work as/at/for""]}",`work as/at/for`.,L147,"[""LEX-P-TNS-002"",""LEX-W-ECO-004""]",PRODUCTIVE,,P-WORK-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-ART-001,"[""pictures"",""diagrams"",""paintings"",""sculpture"",""representational"",""art"",""forms""]","{""en-US"":[""pictures"",""diagrams"",""paintings"",""sculpture"",""representational"",""art"",""forms""]}","Pictures, diagrams, paintings, and sculpture are different representational/art forms.",L270,"[""LEX-P-ID-001"",""LEX-W-REP-001"",""LEX-W-REP-003"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-W-REP-004"",""LEX-W-REP-002""]",RECEPTIVE_THEN_PRODUCTIVE,W-ART-001,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-ART-002,"[""music"",""sound"",""described"",""using"",""relative"",""perceptual"",""properties""]","{""en-US"":[""music"",""sound"",""described"",""using"",""relative"",""perceptual"",""properties""]}",Music/sound can be described using relative perceptual properties.,L175,"[""LEX-W-PHY-007"",""LEX-P-PRON-001"",""LEX-P-ID-001"",""LEX-P-DET-002""]",RECEPTIVE_THEN_PRODUCTIVE,W-ART-002,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-AST-001,"[""earth's"",""day"",""night"",""cycle"",""observable"",""daytime"",""nighttime"",""sky""]","{""en-US"":[""earth's"",""day"",""night"",""cycle"",""observable"",""daytime"",""nighttime"",""sky""]}",Earth's day/night cycle and the observable daytime/nighttime sky are related but not identical concepts.,L137,"[""LEX-W-TIME-003"",""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-AST-001,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-AST-002,"[""apparent"",""solar"",""position"",""shadow"",""change"",""form"",""observable"",""correlated""]","{""en-US"":[""apparent"",""solar"",""position"",""shadow"",""change"",""form"",""observable"",""correlated""]}",Apparent solar position and shadow change form an observable correlated pattern.,L257,"[""LEX-P-ID-001"",""LEX-W-AST-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-W-PHY-005"",""LEX-W-PHY-006""]",RECEPTIVE_THEN_PRODUCTIVE,W-AST-002,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-AST-003,"[""moon's"",""visible"",""appearance"",""changes"",""recurring"",""pattern"",""time""]","{""en-US"":[""moon's"",""visible"",""appearance"",""changes"",""recurring"",""pattern"",""time""]}",The Moon's visible appearance changes in a recurring pattern over time.,L138,"[""LEX-W-TIME-002"",""LEX-P-ID-001"",""LEX-W-AST-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-AST-003,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-AST-004,"[""planets"",""orbit"",""orbiting"",""spatial"",""motion""]","{""en-US"":[""planets"",""orbit"",""orbiting"",""spatial"",""motion""]}",Planets orbit; orbiting is a spatial motion relation.,L139,"[""LEX-P-ID-001"",""LEX-W-GEO-001"",""LEX-P-TNS-002"",""LEX-W-PHY-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-AST-004,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-AST-005,"[""solar"",""system"",""contains"",""sun"",""orbiting"",""bodies"",""member""]","{""en-US"":[""solar"",""system"",""contains"",""sun"",""orbiting"",""bodies"",""member""]}",The solar system contains the Sun and orbiting bodies; member and system are distinct.,L140,"[""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-W-AST-004""]",RECEPTIVE_THEN_PRODUCTIVE,W-AST-005,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-001,"[""living"",""nonliving"",""entities"",""distinguished"",""using"",""biological"",""properties"",""rather""]","{""en-US"":[""living"",""nonliving"",""entities"",""distinguished"",""using"",""biological"",""properties"",""rather""]}",Living and nonliving entities are distinguished using biological properties rather than motion alone.,L119,"[""LEX-W-ONT-001"",""LEX-P-ID-001"",""LEX-W-OBJ-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-001,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-002,"[""plants"",""have"",""differentiated"",""structures"",""roots"",""stems"",""leaves"",""flowers""]","{""en-US"":[""plants"",""have"",""differentiated"",""structures"",""roots"",""stems"",""leaves"",""flowers""]}","Plants have differentiated structures: roots, stems, leaves, flowers/seeds where applicable.",L124,"[""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-W-BIO-001"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-002,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-003,"[""plants"",""require"",""resources"",""pass"",""growth"",""stages""]","{""en-US"":[""plants"",""require"",""resources"",""pass"",""growth"",""stages""]}",Plants require resources and pass through growth stages.,L125,"[""LEX-W-TIME-002"",""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-W-BIO-002"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-003,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-004,"[""animals"",""classified"",""nested"",""groups"",""using"",""shared"",""features""]","{""en-US"":[""animals"",""classified"",""nested"",""groups"",""using"",""shared"",""features""]}",Animals can be classified into nested groups using shared features.,L235,"[""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-W-BIO-001"",""LEX-P-PRON-001"",""LEX-W-EPI-004""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-004,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-005,"[""animal"",""structures"",""fur"",""feathers"",""scales"",""shells"",""wings"",""fins""]","{""en-US"":[""animal"",""structures"",""fur"",""feathers"",""scales"",""shells"",""wings"",""fins""]}","Animal structures such as fur, feathers, scales, shells, wings, and fins relate to morphology; movement types are distinct actions.",L237,"[""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-P-DET-002"",""LEX-W-BIO-004"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-005,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-006,"[""habitats"",""environments"",""which"",""organisms"",""live"",""habitat"",""synonymous"",""organism""]","{""en-US"":[""habitats"",""environments"",""which"",""organisms"",""live"",""habitat"",""synonymous"",""organism""]}",Habitats are environments in which organisms live; habitat is not synonymous with organism.,L132,"[""LEX-W-GEO-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-W-BIO-001"",""LEX-W-GEO-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-006,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-007,"[""structures"",""contribute"",""functions"",""important"",""survival""]","{""en-US"":[""structures"",""contribute"",""functions"",""important"",""survival""]}",Structures can contribute to functions important for survival.,L238,"[""LEX-P-ID-001"",""LEX-P-TNS-002"",""LEX-W-BIO-005"",""LEX-P-DET-002"",""LEX-W-BIO-006"",""LEX-P-PRON-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-007,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-W-BIO-008,"[""diet"",""categories"",""concern"",""organisms"",""eat"",""feeding"",""form"",""food""]","{""en-US"":[""diet"",""categories"",""concern"",""organisms"",""eat"",""feeding"",""form"",""food""]}",Diet categories concern what organisms eat; feeding relations can form food chains.,L239,"[""LEX-P-ID-001"",""LEX-W-BIO-005"",""LEX-P-DET-002"",""LEX-W-BIO-004"",""LEX-W-BIO-006"",""LEX-P-PRON-001"",""LEX-P-PART-001""]",RECEPTIVE_THEN_PRODUCTIVE,W-BIO-008,,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
