point_id,form_function,contrasts_confusions,point_prerequisites,world_prerequisites,anchor_domains,transfer_domains,provenance,status,frontier_lexeme_bundle_id,acquisition_lesson_id,required_lexeme_bundle_ids,required_response_forms,associated_response_forms,associated_discourse_operations
P-PASS-001,"passive family, first in visible processes; later active/passive contrast and agent `by`.",means-by vs agent-by,"[""P-TNS-002"",""P-REL-001""]","[""W-EAR-003""]","[""water cycle""]","[""food chain"",""manufacturing"",""explicit grammar""]","[""C099"",""C114"",""C125"",""C155"",""C220""]",ACTIVE,LEX-P-PASS-001,L116,"[""LEX-W-EAR-003"",""LEX-P-TNS-002"",""LEX-P-REL-001""]",[],[],[]
P-PAT-001,repetition `every/every other/again`.,recurrence vs frequency probability,"[""P-SEQ-001""]","[""W-MATH-012""]","[""visual patterns""]","[""periodic events""]","[""C077""]",ACTIVE,LEX-P-PAT-001,L090,"[""LEX-W-MATH-012"",""LEX-P-SEQ-001""]","[""RF-SEQUENCE""]",[],[]
P-PATH-001,`to/from/into/out of/through`.,static location vs path,"[""P-SPAT-001""]","[""W-GEO-001""]","[""physical routes""]","[""water/data/supply chains""]","[""C013"",""C131""]",ACTIVE,LEX-P-PATH-001,L040,"[""LEX-W-GEO-001"",""LEX-P-SPAT-001""]",[],[],[]
P-PERF-001,present perfect and later past perfect.,past simple vs present perfect vs past perfect,"[""P-TNS-003"",""P-CHANGE-002""]","[""W-HIS-002""]","[""change/projects""]","[""temporal sequencing""]","[""C212"",""C219""]",ACTIVE,LEX-P-PERF-001,L219,"[""LEX-W-HIS-002"",""LEX-P-TNS-003"",""LEX-P-CHANGE-002""]",[],[],[]
P-POSS-001,Possessives `my/your/his/her/...` and `'s`.,possession vs part-whole,"[""P-ID-001"",""P-NUM-001""]","[""W-OBJ-002""]","[""belongings""]","[""households/responsibility""]","[""C008""]",ACTIVE,LEX-P-POSS-001,L025,"[""LEX-W-OBJ-002"",""LEX-P-ID-001"",""LEX-P-NUM-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-PREF-001,`like/love/dislike + noun/-ing`.,preference vs need,"[""P-TNS-002""]","[""W-PSY-001""]","[""activities""]","[""art/food/preferences""]","[""C033""]",ACTIVE,LEX-P-PREF-001,L057,"[""LEX-W-PSY-001"",""LEX-P-TNS-002""]",[],[],[]
P-PREVENT-001,`prevent/keep X from -ing`.,prevention vs prohibition,"[""P-CAU-004""]","[""W-SEC-001""]","[""security""]","[""hazards/health""]","[""C176""]",ACTIVE,LEX-P-PREVENT-001,L207,"[""LEX-W-SEC-001"",""LEX-P-CAU-004""]",[],[],[]
P-PRON-001,subject/object pronouns.,antecedent ambiguity later,"[""P-ID-001""]","[""W-CHR-001""]","[""known characters""]","[""narratives""]","[""C009""]",ACTIVE,LEX-P-PRON-001,L006,"[""LEX-W-CHR-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-PRON-002,clear pronoun antecedents and explicit repair of ambiguity.,grammatical pronoun vs recoverable referent,"[""P-PRON-001"",""P-EPI-002""]","[""W-EPI-012""]","[""crowded scenes""]","[""academic prose""]","[""C210"",""C221""]",ACTIVE,LEX-P-PRON-002,L287,"[""LEX-W-EPI-012"",""LEX-P-PRON-001"",""LEX-P-EPI-002""]","[""RF-CORRECTION""]",[],[]
P-PURP-001,"purpose: `need X to...`, infinitive purpose, `so that`.",purpose vs cause,"[""P-NEED-001""]","[""W-PHY-005""]","[""light/tools""]","[""motives/design""]","[""C088"",""C185"",""C217""]",ACTIVE,LEX-P-PURP-001,L232,"[""LEX-W-PHY-005"",""LEX-P-NEED-001""]",[],[],[]
P-Q-001,Agent-identity question `Who are you?` / `Who is X?`.,who for agents; what/type is separate,"[""P-ID-001""]",[],"[""people/minds""]","[""roles/sources""]","[""C014""]",ACTIVE,LEX-P-Q-001,L000,"[""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-WHO-IDENTITY""]","[""DO-IDENTIFY""]"
P-Q-002,`or` alternative question.,open W-question vs closed alternatives,"[""P-ID-001""]",[],"[""bootstrap""]","[""choices/hypotheses""]","[""C026"",""SYN""]",ACTIVE,LEX-P-Q-002,L000,"[""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-OR-IDENTITY""]","[""DO-IDENTIFY""]"
P-Q-003,`where?`,location vs path,"[""P-SPAT-001""]","[""W-OBJ-001""]","[""objects""]","[""people/routes/files""]","[""C015""]",ACTIVE,LEX-P-Q-003,L011,"[""LEX-W-OBJ-001"",""LEX-P-SPAT-001""]",[],[],[]
P-Q-004,`which?` among an identified set.,which vs what; open vs bounded set,"[""P-Q-002"",""P-DET-003""]","[""W-GEO-001""]","[""routes/objects""]","[""classifications""]","[""C026"",""SYN""]",ACTIVE,LEX-P-Q-004,L041,"[""LEX-W-GEO-001"",""LEX-P-Q-002"",""LEX-P-DET-003""]","[""RF-OR-IDENTITY""]",[],[]
P-Q-005,`when?` temporal query.,when vs where/why,"[""P-TNS-002""]","[""W-TIME-001""]","[""schedules""]","[""history/process""]","[""C016""]",ACTIVE,LEX-P-Q-005,L055,"[""LEX-W-TIME-001"",""LEX-P-TNS-002""]",[],[],[]
P-Q-006,productive yes/no questions with `be` and `do/does`.,auxiliary choice,"[""P-ID-001"",""P-TNS-002""]","[""W-EVT-001""]","[""identity""]","[""routine/property""]","[""C024"",""C025""]",ACTIVE,LEX-P-Q-006,L018,"[""LEX-W-EVT-001"",""LEX-P-ID-001"",""LEX-P-TNS-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-YES-NO""]",[]
P-Q-007,Object/type question `What is this?` / `What is X?`.,what/type vs who/agent,"[""P-ID-001"",""P-DET-001""]","[""W-OBJ-001""]","[""objects/devices""]","[""categories/definitions""]","[""C014"",""SYN""]",ACTIVE,LEX-P-Q-007,L008,"[""LEX-W-OBJ-001"",""LEX-P-ID-001"",""LEX-P-DET-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-WHAT-TYPE""]","[""DO-IDENTIFY""]"
P-QNT-001,`how many?` and zero responses `no/none/not any`.,noun plurality vs cardinality,"[""P-NUM-001""]","[""W-MATH-001""]","[""small collections""]","[""data/resources""]","[""C053"",""C054""]",ACTIVE,LEX-P-QNT-001,L044,"[""LEX-W-MATH-001"",""LEX-P-NUM-001""]",[],[],[]
P-QNT-002,`some/any`; `many/much/a lot of`; partitives.,count/noncount selection,"[""P-NOUN-001""]","[""W-MAT-001""]","[""food""]","[""material/resource quantities""]","[""C036"",""C037"",""C038""]",ACTIVE,LEX-P-QNT-002,L093,"[""LEX-W-MAT-001"",""LEX-P-NOUN-001""]",[],[],[]
P-QNT-003,distributives `each/every/all`.,individual iteration vs group total,"[""P-QNT-001""]","[""W-MATH-005""]","[""distribution""]","[""rules/generalizations""]","[""C058""]",ACTIVE,LEX-P-QNT-003,L066,"[""LEX-W-MATH-005"",""LEX-P-QNT-001""]",[],[],[]
P-QNT-004,contrastive quantification `some...others...`.,existential some vs subgroup contrast,"[""P-QNT-003""]","[""W-PHY-004""]","[""magnets""]","[""biological variation/beliefs""]","[""C087"",""C119"",""C190""]",ACTIVE,LEX-P-QNT-004,L105,"[""LEX-W-PHY-004"",""LEX-P-QNT-003""]",[],[],[]
P-REAL-001,`real/imaginary/about`.,fiction vs false factual claim,"[""P-REP-001""]","[""W-LIT-003""]","[""fiction/nonfiction""]","[""models""]","[""C184""]",ACTIVE,LEX-P-REAL-001,L213,"[""LEX-W-LIT-003"",""LEX-P-REP-001""]",[],[],[]
P-REFINE-001,`more precisely/in other words`.,correction vs paraphrase,"[""P-EPI-002"",""P-DEF-001""]","[""W-EPI-002""]","[""repair""]","[""academic exposition""]","[""C239""]",ACTIVE,LEX-P-REFINE-001,L293,"[""LEX-W-EPI-002"",""LEX-P-EPI-002"",""LEX-P-DEF-001""]","[""RF-CORRECTION""]","[""RF-CORRECTION""]","[""DO-CORRECT""]"
P-REG-001,formal/informal register adaptation.,grammar correctness vs appropriateness,"[""P-SOC-001"",""P-SOC-002"",""P-SOC-003"",""P-SOC-004"",""P-SOC-005"",""P-SOC-006"",""P-SOC-009"",""P-SOC-010""]","[""W-REG-001""]","[""friends/strangers""]","[""institutions""]","[""C192""]",ACTIVE,LEX-P-REG-001,L217,"[""LEX-W-REG-001"",""LEX-P-SOC-001"",""LEX-P-SOC-002"",""LEX-P-SOC-003"",""LEX-P-SOC-004"",""LEX-P-SOC-005"",""LEX-P-SOC-006"",""LEX-P-SOC-009"",""LEX-P-SOC-010""]","[""RF-GREETING"",""RF-MEETING-RECIPROCITY"",""RF-CLARIFICATION"",""RF-POLITE-REQUEST"",""RF-THANKS"",""RF-FAREWELL""]",[],"[""DO-ADAPT-REGISTER""]"
P-REL-001,`by` as means/channel.,by means vs with instrument vs by agent,"[""P-ID-001""]","[""W-ONT-002""]","[""data transfer""]","[""physical transport"",""media""]","[""C017"",""C164""]",ACTIVE,LEX-P-REL-001,L032,"[""LEX-W-ONT-002"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-RELCL-001,relative clauses `who/which/that`.,defining vs supplementary detail,"[""P-PRON-001"",""P-DET-002""]","[""W-BIO-009""]","[""predators/jobs""]","[""formal definitions""]","[""C115"",""C145"",""C211""]",ACTIVE,LEX-P-RELCL-001,L241,"[""LEX-W-BIO-009"",""LEX-P-PRON-001"",""LEX-P-DET-002""]",[],[],[]
P-REP-001,`represents/stands for`.,representation vs identity,"[""P-ID-001"",""P-DET-002""]","[""W-REP-001""]","[""icons""]","[""maps"",""symbols/models""]","[""C128"",""C166"",""C186""]",ACTIVE,LEX-P-REP-001,L028,"[""LEX-W-REP-001"",""LEX-P-ID-001"",""LEX-P-DET-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-REPORT-001,direct speech vs reported `say/tell`.,quote vs paraphrase,"[""P-COM-002"",""P-TNS-003""]","[""W-LIT-002""]","[""stories""]","[""testimony/source work""]","[""C183""]",ACTIVE,LEX-P-REPORT-001,L211,"[""LEX-W-LIT-002"",""LEX-P-COM-002"",""LEX-P-TNS-003""]",[],[],[]
P-RESP-001,"responsibility/permission: `responsible for`, `allowed to`.",obligation vs authorization,"[""P-MOD-003"",""P-MOD-004""]","[""W-CIV-002""]","[""civics""]","[""organizations""]","[""C149"",""C152""]",ACTIVE,LEX-P-RESP-001,L264,"[""LEX-W-CIV-002"",""LEX-P-MOD-003"",""LEX-P-MOD-004""]",[],[],[]
P-SEARCH-001,`look for` vs `find`.,process vs successful result,"[""P-COMP-001""]","[""W-COMP-006""]","[""information search""]","[""ordinary search""]","[""C171""]",ACTIVE,LEX-P-SEARCH-001,L203,"[""LEX-W-COMP-006"",""LEX-P-COMP-001""]",[],[],[]
P-SENT-001,simple/compound/complex sentence composition.,clause linkage vs run-on coordination,"[""P-DISC-001"",""P-CAU-001"",""P-RELCL-001"",""P-CONTR-001""]","[""W-EPI-007""]","[""explanation""]","[""formal writing""]","[""C222""]",ACTIVE,LEX-P-SENT-001,L288,"[""LEX-W-EPI-007"",""LEX-P-DISC-001"",""LEX-P-CAU-001"",""LEX-P-RELCL-001"",""LEX-P-CONTR-001""]","[""RF-AGREE-DISAGREE"",""RF-REASON""]",[],[]
P-SEQ-001,procedural query/explanation: `How...? First/next/then/finally`.,method `how` vs reason `why`,"[""P-IMP-001""]","[""W-EVT-002""]","[""familiar procedure""]","[""engineering/algorithms""]","[""C032"",""SYN""]",ACTIVE,LEX-P-SEQ-001,L023,"[""LEX-W-EVT-002"",""LEX-P-IMP-001""]",[],"[""RF-SEQUENCE""]","[""DO-SEQUENCE""]"
P-SHAPE-001,"`shaped like`, `has N sides/faces`.",resemblance vs category identity,"[""P-DESC-001""]","[""W-MATH-007"",""W-MATH-008""]","[""geometry""]","[""signs/objects""]","[""C060"",""C061""]",ACTIVE,LEX-P-SHAPE-001,L071,"[""LEX-W-MATH-007"",""LEX-W-MATH-008"",""LEX-P-DESC-001""]",[],[],[]
P-SIM-001,`similar to/different from/same as`; paired `both...and`.,shared property vs identity,"[""P-CMP-002""]","[""W-BIO-011""]","[""heredity""]","[""classification/evidence""]","[""C117"",""C118"",""C200"",""C213""]",ACTIVE,LEX-P-SIM-001,L244,"[""LEX-W-BIO-011"",""LEX-P-CMP-002""]",[],[],"[""DO-COMPARE""]"
P-SOC-001,"Greetings used to open an encounter: `Hello!`, `Good morning!`.",greeting ≠ introduction ≠ farewell,[],[],"[""bootstrap""]","[""ordinary encounters/register""]","[""C001""]",ACTIVE,LEX-P-SOC-001,L000,[],[],"[""RF-GREETING""]","[""DO-GREET""]"
P-SOC-002,"Meeting reciprocity: `Nice to meet you!` / `Nice to meet you, too.`",meeting reciprocity ≠ thanking,"[""P-SOC-001"",""P-ID-001""]",[],"[""canonical first meetings""]","[""noncanonical controlled practice""]","[""C002""]",ACTIVE,LEX-P-SOC-002,L000,"[""LEX-P-SOC-001"",""LEX-P-ID-001""]","[""RF-GREETING"",""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-MEETING-RECIPROCITY""]",[]
P-SOC-003,"Introduce another person: `This is X`; `X, this is Y`.",introducing self vs third party,"[""P-ID-001"",""P-Q-001""]",[],"[""social chronology""]","[""institutional introductions""]","[""C002"",""SYN""]",ACTIVE,LEX-P-SOC-003,L048,"[""LEX-P-ID-001"",""LEX-P-Q-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY"",""RF-WHO-IDENTITY""]",[],"[""DO-INTRODUCE""]"
P-SOC-004,Repair/clarification: `I don't understand`; `What does X mean?`; `Can you say that another way?`,repeat vs rephrase vs define,"[""P-Q-001"",""P-ID-001""]","[""W-SOC-002""]","[""dialogue""]","[""technical explanation/mediation""]","[""V2"",""SYN""]",ACTIVE,LEX-P-SOC-004,L034,"[""LEX-W-SOC-002"",""LEX-P-Q-001"",""LEX-P-ID-001""]","[""RF-WHO-IDENTITY"",""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-CLARIFICATION""]","[""DO-REPAIR""]"
P-SOC-005,Polite request `Can you ... please?`,ability `can` vs request `can`,"[""P-SOC-002""]","[""W-SOC-003""]","[""cooperation""]","[""services/instructions""]","[""C020""]",ACTIVE,LEX-P-SOC-005,L050,"[""LEX-W-SOC-003"",""LEX-P-SOC-002""]","[""RF-MEETING-RECIPROCITY""]","[""RF-POLITE-REQUEST""]","[""DO-REQUEST""]"
P-SOC-006,"apology/attention: `sorry`, `excuse me`.",apology vs clarification,"[""P-SOC-001""]","[""W-SOC-004""]","[""interruption""]","[""mistake/repair""]","[""C022""]",ACTIVE,LEX-P-SOC-006,L186,"[""LEX-W-SOC-004"",""LEX-P-SOC-001""]","[""RF-GREETING""]",[],[]
P-SOC-007,congratulation/wishes.,congratulations vs thanks,"[""P-SOC-001""]","[""W-CUL-004""]","[""achievement""]","[""celebrations""]","[""C023"",""C191""]",ACTIVE,LEX-P-SOC-007,L179,"[""LEX-W-CUL-004"",""LEX-P-SOC-001""]","[""RF-GREETING""]",[],[]
P-SOC-008,offers/invitations: `Would you like...?`; polite accept/decline.,offer vs request,"[""P-PREF-001"",""P-SOC-002""]","[""W-SOC-003""]","[""food/activity""]","[""services""]","[""C039"",""C040""]",ACTIVE,LEX-P-SOC-008,L059,"[""LEX-W-SOC-003"",""LEX-P-PREF-001"",""LEX-P-SOC-002""]","[""RF-MEETING-RECIPROCITY""]",[],[]
P-SOC-009,"Thanking and response: `Thank you.`, `Thanks.`, `You're welcome.`",thanking ≠ meeting reciprocity ≠ apology,"[""P-SOC-001""]","[""W-SOC-003""]","[""help/gifts""]","[""services/cooperation""]","[""C021""]",ACTIVE,LEX-P-SOC-009,L051,"[""LEX-W-SOC-003"",""LEX-P-SOC-001""]","[""RF-GREETING""]","[""RF-THANKS""]",[]
P-SOC-010,"Farewells: `Goodbye.`, `See you later.`",farewell ≠ greeting,"[""P-SOC-001""]","[""W-CHR-001""]","[""ordinary encounters""]","[""register""]","[""C001""]",ACTIVE,LEX-P-SOC-010,L052,"[""LEX-W-CHR-001"",""LEX-P-SOC-001""]","[""RF-GREETING""]","[""RF-FAREWELL""]",[]
P-SOURCE-001,source relation `comes from`.,source vs agent vs location,"[""P-PATH-001""]","[""W-PHY-009""]","[""energy/resources""]","[""provenance""]","[""C092"",""C102""]",ACTIVE,LEX-P-SOURCE-001,L109,"[""LEX-W-PHY-009"",""LEX-P-PATH-001""]",[],[],[]
P-SPAT-001,`in/on/under/above/beside/next to`.,topological/spatial distinctions,"[""P-DET-002""]","[""W-OBJ-001""]","[""objects""]","[""body/maps/computing""]","[""C012""]",ACTIVE,LEX-P-SPAT-001,L010,"[""LEX-W-OBJ-001"",""LEX-P-DET-002""]",[],[],[]
P-SRC-001,"evidence/source attribution: `according to`, `based on`, `supported by`.",source attribution vs truth guarantee,"[""P-EPI-003""]","[""W-EPI-003""]","[""source materials""]","[""science/ML""]","[""C167"",""C179"",""C238""]",ACTIVE,LEX-P-SRC-001,L274,"[""LEX-W-EPI-003"",""LEX-P-EPI-003""]",[],"[""RF-SOURCE""]","[""DO-ATTRIBUTE-SOURCE""]"
P-STATE-001,`feel + adj` / `have + symptom noun`.,property vs reported internal state,"[""P-DESC-001""]","[""W-BODY-003"",""W-BODY-004""]","[""emotions""]","[""health""]","[""C044"",""C045""]",ACTIVE,LEX-P-STATE-001,L228,"[""LEX-W-BODY-003"",""LEX-W-BODY-004"",""LEX-P-DESC-001""]",[],[],[]
P-SUM-001,`overall/in summary`.,summary vs repetition of all detail,"[""P-SENT-001""]","[""W-LIT-001""]","[""process summaries""]","[""formal reports""]","[""C240""]",ACTIVE,LEX-P-SUM-001,L294,"[""LEX-W-LIT-001"",""LEX-P-SENT-001""]",[],"[""RF-SUMMARY""]","[""DO-SUMMARIZE""]"
P-SYS-001,`work together to`; system/component composition language.,component vs member,"[""P-PART-001"",""P-FUNC-002""]","[""W-ENG-001""]","[""body systems""]","[""machines/networks""]","[""C123"",""C140"",""C199""]",ACTIVE,LEX-P-SYS-001,L127,"[""LEX-W-ENG-001"",""LEX-P-PART-001"",""LEX-P-FUNC-002""]",[],[],[]
P-TIME-001,"temporal `at/on/in`, `before/after/during/for`.",point/date/period/duration,"[""P-Q-005""]","[""W-TIME-001"",""W-TIME-002""]","[""schedules""]","[""processes/history""]","[""C069"",""C070"",""C072"",""C098""]",ACTIVE,LEX-P-TIME-001,L078,"[""LEX-W-TIME-001"",""LEX-W-TIME-002"",""LEX-P-Q-005""]",[],[],"[""DO-SEQUENCE""]"
P-TNS-001,`will` for a later commitment/prediction at introductory level.,commitment vs prediction; not full future system,"[""P-ID-001""]","[""W-SOC-005""]","[""promises""]","[""planned/future events""]","[""C071"",""SYN""]",ACTIVE,LEX-P-TNS-001,L081,"[""LEX-W-SOC-005"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-TNS-002,"simple present for habits/general routines, including third-person `-s`.",habitual vs current action,"[""P-ASP-001""]","[""W-EVT-001""]","[""routine""]","[""scientific generalization""]","[""C027"",""C029""]",ACTIVE,LEX-P-TNS-002,L016,"[""LEX-W-EVT-001"",""LEX-P-ASP-001""]",[],[],[]
P-TNS-003,"simple past, introduced separately from future; later narrative past.",past event vs past habit,"[""P-TNS-002"",""P-TIME-001""]","[""W-TIME-003""]","[""completed familiar events""]","[""history/story""]","[""C071"",""C182""]",ACTIVE,LEX-P-TNS-003,L082,"[""LEX-W-TIME-003"",""LEX-P-TNS-002"",""LEX-P-TIME-001""]",[],[],[]
P-WORK-001,`work as/at/for`.,role vs place vs employer,"[""P-TNS-002""]","[""W-ECO-004""]","[""jobs""]","[""institutions""]","[""C154""]",ACTIVE,LEX-P-WORK-001,L147,"[""LEX-W-ECO-004"",""LEX-P-TNS-002""]",[],[],[]
