source_id,original_topic,original_point,target_world_ids,target_point_ids,lesson_ids,backlog_status,transformation_type,exclusion_or_defer_reason,authority_role
C113,"herbivores, carnivores, and omnivores",diet language “eat/feed on”,"[""W-BIO-008""]",[],"[""L239""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C114,simple food chains,active versus passive relation: “X eats Y / Y is eaten by X”,"[""W-BIO-008""]","[""P-PASS-001""]","[""L116"",""L239""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C115,predators and prey,relative clauses with “that/which”: “an animal that hunts…”,"[""W-BIO-009""]","[""P-RELCL-001""]","[""L240"",""L241""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C116,animal life cycles,“begin as/become”,"[""W-BIO-010""]","[""P-CHANGE-001""]","[""L098"",""L242""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C117,parents and offspring,“similar to/different from”,"[""W-BIO-010"",""W-BIO-011""]","[""P-SIM-001""]","[""L242"",""L243"",""L244""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C118,traits shared by parent and offspring,“both…and”,"[""W-BIO-011""]","[""P-SIM-001""]","[""L243"",""L244""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C119,variation among members of one kind,"contrast with “while”: “some are large, while others are small”","[""W-BIO-011""]","[""P-CONTR-001"",""P-QNT-004""]","[""L105"",""L243"",""L245""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C120,organisms sharing an ecosystem,“depend on”,"[""W-BIO-012""]","[""P-DEP-001""]","[""L246"",""L247""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C121,pollination and seed dispersal,"“by” for process or agent: “carried by wind,” “spread by animals”","[""W-BIO-013""]",[],"[""L126""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C122,dead material and decomposers,“break down into”,"[""W-BIO-014""]","[""P-DECOMP-001""]","[""L248"",""L249""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C123,major human body systems,“work together to…”,"[""W-BODY-005"",""W-BODY-006""]","[""P-SYS-001""]","[""L127"",""L250"",""L251""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C124,blood circulation,transfer frame “carry X from Y to Z”,"[""W-BODY-007""]","[""P-FLOW-001""]","[""L131"",""L252""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C125,digestion,ordered process language with the passive,"[""W-BODY-008""]","[""P-PASS-001""]","[""L116"",""L253""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C126,"brain, nerves, and information from the senses",“allows/enables/helps”,"[""W-BODY-009""]","[""P-FUNC-002""]","[""L103"",""L254""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C127,"germs, illness, and prevention",possibility and causation with “can/may cause”,"[""W-BODY-010""]","[""P-MOD-004""]","[""L255"",""L262""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C128,maps and globes,representation: “represents/stands for”,"[""W-REP-001"",""W-REP-002""]","[""P-REP-001""]","[""L027"",""L028"",""L128""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C129,"north, south, east, and west",“north/south/east/west of”,"[""W-GEO-004"",""W-REP-002""]","[""P-GEO-001""]","[""L128"",""L133"",""L135""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C130,addresses and geographic locations,“located at/in/on”,"[""W-GEO-005"",""W-REP-002""]","[""P-GEO-001""]","[""L128"",""L135"",""L136""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C131,following a route on a map,path construction “from…through…to…”,"[""W-GEO-001"",""W-REP-002""]","[""P-PATH-001""]","[""L039"",""L040"",""L128""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C132,continents and oceans,set membership: “one of”,"[""W-GEO-005""]","[""P-CLASS-001""]","[""L096"",""L136""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C133,"countries, regions, and cities",hierarchical geography: “part of/within”,"[""W-GEO-005"",""W-SYS-001""]","[""P-PART-001""]","[""L112"",""L121"",""L136""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C134,local and distant places,“near/far from”,"[""W-GEO-005""]","[""P-GEO-001""]","[""L135"",""L136""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C135,day and night on Earth,simultaneous contrast with “while”,"[""W-AST-001""]","[""P-CONTR-001""]","[""L137"",""L245""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C136,objects visible in the daytime and nighttime sky,appearance versus reality with “appears/seems”,"[""W-AST-001""]","[""P-APPEAR-001""]","[""L137"",""L195""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C137,the Sun’s apparent position and changing shadows,correlated change with “as”: “as the Sun appears higher…”,"[""W-AST-002""]","[""P-CORREL-001""]","[""L257"",""L258""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C138,changing appearance of the Moon,“changes over time”,"[""W-AST-003""]","[""P-CHANGE-001""]","[""L098"",""L138""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C139,planets and orbits,“orbit/go around”,"[""W-AST-004""]",[],"[""L139""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C140,the solar system,“includes/consists of”,"[""W-AST-005""]","[""P-SYS-001""]","[""L127"",""L140""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C141,"atmosphere, water, land, and living things",interaction language: “interacts with/affects”,"[""W-EAR-005""]","[""P-DEP-001""]","[""L247"",""L259""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C142,"storms, floods, fires, earthquakes, and other hazards",possibility and contingency: “can/may”; “in case of”,"[""W-HAZ-001"",""W-HAZ-002"",""W-HAZ-003""]","[""P-MOD-004""]","[""L260"",""L261"",""L262"",""L263""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C143,households and family relationships,possession question “whose?” and “belongs to”,"[""W-OBJ-002"",""W-SOC-008""]",[],"[""L024"",""L141""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C144,"clubs, teams, organizations, and groups",membership: “belong to/member of”,"[""W-SOC-009""]","[""P-CLASS-001""]","[""L096"",""L142""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C145,community occupations,person-defining relative clause: “someone who…”,"[""W-SOC-010""]","[""P-RELCL-001""]","[""L053"",""L241""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C146,"libraries, sanitation, transit, mail, and other public services",“provide X for Y”,"[""W-SOC-011""]",[],"[""L143""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C147,"schools, libraries, clinics, banks, and other institutions",distinguishing “at” from “in” for institutions and locations,"[""W-SOC-012""]","[""P-GEO-001""]","[""L135"",""L144""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C148,rules and laws,“must/have to” versus advisory “should”,"[""W-CIV-001""]","[""P-MOD-003""]","[""L189"",""L190""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C149,leaders and basic functions of government,“responsible for”,"[""W-CIV-002""]","[""P-RESP-001""]","[""L196"",""L264""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C150,making a choice between two alternatives,“either…or”,"[""W-CIV-003""]","[""P-CHOICE-001""]","[""L197"",""L198""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C151,groups making collective decisions,preference and selection with “choose/vote for”,"[""W-CIV-003""]",[],"[""L197""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C152,rights and responsibilities,“allowed to” versus “responsible for”,"[""W-CIV-001""]","[""P-RESP-001""]","[""L189"",""L264""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C153,goods and services,contrasting object and activity definitions: “a thing that…” / “work that…”,"[""W-ECO-003""]",[],"[""L145""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C154,jobs and workplaces,“work as/work at/work for”,"[""W-ECO-004""]","[""P-WORK-001""]","[""L146"",""L147""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C155,"farms, factories, workshops, and service providers",production passive: “is grown/made/provided by”,"[""W-ECO-005""]","[""P-PASS-001""]","[""L116"",""L148""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C156,a simple supply chain,sequence and transfer with “before/after/from/to”,"[""W-ECO-006""]","[""P-FLOW-001""]","[""L131"",""L149""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C157,buying and selling,argument structure of “buy from/sell to/pay for”,"[""W-ECO-007""]","[""P-EXCH-001""]","[""L150"",""L151""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C158,saving and spending money,“enough to” and “too…to”,"[""W-ECO-002"",""W-ECO-007""]","[""P-MEAS-001""]","[""L075"",""L087"",""L150""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C159,scarcity and limited resources,consequence frame “not enough…so…”,"[""W-ECO-002"",""W-ECO-007""]","[""P-CAU-003""]","[""L087"",""L150"",""L192""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C160,trade and exchange,“exchange/trade X for Y”,"[""W-ECO-007""]","[""P-EXCH-001""]","[""L150"",""L151""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C161,everyday life in the past and present,past habitual “used to”,"[""W-HIS-001""]","[""P-HABPAST-001""]","[""L152"",""L153""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C162,technologies and customs that change over time,“still/no longer”,"[""W-HIS-001""]","[""P-CHANGE-002""]","[""L152"",""L155""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C163,change across generations,present perfect for past-to-present change: “has changed”,"[""W-HIS-002""]","[""P-CHANGE-002""]","[""L154"",""L155""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C164,ways people communicate over distance,"means with “by”: “by phone,” “by email,” “by radio”","[""W-COM-001"",""W-COM-002"",""W-ONT-002"",""W-TEC-001""]","[""P-REL-001""]","[""L026"",""L029"",""L031"",""L032"",""L156""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C165,"sender, message, and receiver",transfer argument structure: “send X to Y”; “receive X from Y”,"[""W-COM-001"",""W-ONT-002"",""W-TEC-001""]","[""P-COM-001""]","[""L026"",""L029"",""L030"",""L031""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C166,"signs, icons, labels, and symbols",“means/stands for”,"[""W-ONT-002"",""W-REP-001"",""W-REP-003""]","[""P-REP-001""]","[""L027"",""L028"",""L031"",""L157""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C167,"books, reports, news, and reference sources",source attribution with “according to”,"[""W-EPI-003"",""W-EPI-005"",""W-ONT-002""]","[""P-SRC-001""]","[""L031"",""L199"",""L200"",""L274""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C168,computer inputs and outputs,transformation frame “takes X and produces Y”,"[""W-COMP-001"",""W-ONT-002""]","[""P-COMP-001""]","[""L031"",""L159"",""L162""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C169,"files, records, and stored data",“stored in/on”,"[""W-COMP-002"",""W-ONT-002""]","[""P-COMP-001""]","[""L031"",""L160"",""L162""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C170,computer networks and the Internet,“connected to/through”,"[""W-COMP-003"",""W-COMP-004"",""W-COMP-005"",""W-ONT-002""]","[""P-COMP-001""]","[""L031"",""L161"",""L162"",""L163"",""L164""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C171,looking up information,“look for” versus “find”,"[""W-COMP-006""]","[""P-SEARCH-001""]","[""L202"",""L203""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C172,algorithms and ordered procedures,conditional branching with “if…else/otherwise”,"[""W-COMP-007"",""W-EVT-002""]","[""P-COND-002""]","[""L020"",""L165"",""L204""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C173,computer programs and commands,causative communication “tell/instruct X to + verb”,"[""W-COMP-008""]","[""P-INSTR-001""]","[""L166"",""L210""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C174,"tables, charts, and simple data displays",“shows that” and “compared with”,"[""W-DATA-001""]","[""P-DATA-001""]","[""L167"",""L275""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C175,trends in quantities,"correlative comparative “the more…, the more…”","[""W-DATA-002""]","[""P-CORREL-001""]","[""L168"",""L258""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C176,"passwords, privacy, and access control",prevention with “keep/prevent X from + -ing”,"[""W-SEC-001""]","[""P-PREVENT-001""]","[""L205"",""L207""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C177,errors and debugging,"troubleshooting frame “if X doesn’t…, try…”","[""W-COMP-009""]","[""P-COND-002""]","[""L204"",""L265""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C178,automation and machines performing tasks,“can be used to…”,"[""W-COMP-010""]","[""P-AUTO-001""]","[""L169"",""L170""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C179,machine learning and AI models,relation phrase “based on”: “a prediction is based on examples/data”,"[""W-ML-001"",""W-ML-002"",""W-ML-003""]","[""P-SRC-001""]","[""L171"",""L266"",""L267"",""L274""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C180,models as simplified representations,limitation language: “represents X but does not include every…”,"[""W-REP-001"",""W-REP-004""]","[""P-MODEL-001""]","[""L027"",""L268"",""L269""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C181,stories and their components,“character/setting/event” through “who/where/what happened?”,"[""W-LIT-001""]","[""P-LIT-001""]","[""L172"",""L173""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C182,telling a sequence of past events,narrative simple past with “first/then/later/finally”,"[""W-LIT-001""]","[""P-LIT-001"",""P-TNS-003""]","[""L082"",""L172"",""L173""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C183,conversations inside stories,direct speech versus “say/tell”,"[""W-EPI-003"",""W-LIT-002""]","[""P-COM-002"",""P-REPORT-001""]","[""L174"",""L199"",""L209"",""L211""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C184,fiction and nonfiction,“real/imaginary” and “about”,"[""W-LIT-003""]","[""P-REAL-001""]","[""L212"",""L213""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C185,goals and motives,purpose with “to + verb” and “so that”,"[""W-PSY-002""]","[""P-PURP-001""]","[""L183"",""L232""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C186,"pictures, diagrams, paintings, and sculpture",representation and resemblance: “represents/looks like”,"[""W-ART-001"",""W-REP-001""]","[""P-REP-001""]","[""L027"",""L028"",""L270""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C187,sounds and music,comparative sensory language: “louder/quieter/higher/lower”,"[""W-ART-002""]","[""P-CMP-002""]","[""L073"",""L175""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C188,customs and traditions,non-universal generalization: “people may…” and “people often…”,"[""W-CUL-001""]","[""P-GEN-001""]","[""L114"",""L176""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C189,different languages and writing systems,"metalinguistic frame “In language X, Y means…”","[""W-CUL-002""]","[""P-META-001""]","[""L177"",""L271""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C190,"religions, beliefs, and worldviews",viewpoint attribution: “some people believe that…; others…”,"[""W-CUL-003""]","[""P-BELIEF-001"",""P-QNT-004""]","[""L105"",""L214"",""L215""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C191,"holidays, ceremonies, birthdays, and other celebrations","wishes and congratulatory formulas: “Happy…,” “I hope…,” “Congratulations on…”","[""W-CUL-004""]","[""P-SOC-007""]","[""L178"",""L179""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C192,"speaking to friends, strangers, coworkers, and officials",formal versus informal register,"[""W-REG-001""]","[""P-REG-001""]","[""L216"",""L217""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C193,fact and opinion,epistemic contrast “I know…” versus “I think…”,"[""W-EPI-001"",""W-EPI-002"",""W-EPI-006""]","[""P-EPI-001""]","[""L180"",""L184"",""L218"",""L272""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C194,observation and inference,“I observe X; therefore/I infer Y”,"[""W-EPI-004""]","[""P-EPI-003""]","[""L224"",""L273""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C195,claims and evidence,evidential explanation “X because Y” / “evidence that…”,"[""W-EPI-004"",""W-EPI-007""]","[""P-EVID-001""]","[""L224"",""L276"",""L277""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C196,uncertain predictions,“may/might/could/probably”,"[""W-EPI-008""]","[""P-MOD-004""]","[""L262"",""L278""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C197,definitions in reference materials,“means/refers to”,"[""W-EPI-009""]","[""P-DEF-001""]","[""L236"",""L279""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C198,classification systems,“belongs to/is a kind of”,"[""W-EPI-010""]","[""P-CLASS-001""]","[""L096"",""L280""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C199,objects made of components,“contains/consists of/is part of”,"[""W-SYS-001""]","[""P-PART-001"",""P-SYS-001""]","[""L112"",""L121"",""L127""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C200,similarities and differences among categories,“the same as/different from”,"[""W-EPI-011""]","[""P-SIM-001""]","[""L244"",""L281""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C201,"repairing, repeating, and reversing actions","common prefixes “re-,” “un-,” and “pre-”",[],"[""P-MORPH-001""]","[""L283""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C202,properties and occupational roles,"common suffixes such as “-er,” “-ful,” and “-less”",[],"[""P-MORPH-001""]","[""L283""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C203,compound names in geography and technology,interpreting compound words from their components,[],"[""P-MORPH-001""]","[""L283""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C204,scientific and technical vocabulary,"high-value Greek/Latin roots such as “bio-,” “geo-,” “tele-,” and “photo-”",[],"[""P-MORPH-001""]","[""L283""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C205,motion and emotional intensity,synonyms and shades of meaning,[],"[""P-LEX-001""]","[""L284""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C206,physical-property continua,antonyms and opposites,[],"[""P-LEX-001""]","[""L284""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C207,"“mouse,” “key,” “bank,” “current,” and other cross-domain words",multiple meanings selected by context,[],"[""P-LEX-001""]","[""L284""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C208,ordinary idiomatic descriptions,literal versus nonliteral meaning,[],"[""P-FIG-001""]","[""L285""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C209,"describing nature, people, and machines vividly",simile and metaphor,[],"[""P-FIG-001""]","[""L285""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C210,scenes with several people and objects,clear pronoun antecedents,[],"[""P-PRON-002""]","[""L287""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C211,"defining organisms, tools, places, and jobs",relative clauses with “who/which/that”,[],"[""P-RELCL-001""]","[""L241""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C212,ongoing projects and completed work,present perfect “has/have + past participle”,[],"[""P-CHANGE-002"",""P-PERF-001""]","[""L155"",""L219""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C213,two features shared by one thing,“both…and”,[],"[""P-SIM-001""]","[""L244""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C214,choosing one of two possibilities,“either…or”,[],"[""P-CHOICE-001""]","[""L198""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C215,excluding two possibilities,“neither…nor”,[],"[""P-CHOICE-001""]","[""L198""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C216,activities treated as concepts,"gerunds as nouns: “reading helps…,” “heating causes…”",[],"[""P-GER-001""]","[""L220""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C217,"tools, goals, and designed functions","infinitives expressing purpose: “to measure,” “to communicate”",[],"[""P-PURP-001""]","[""L232""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C218,objects undergoing processes,"participles as modifiers: “flowing water,” “broken glass,” “stored data”",[],"[""P-PARTIC-001""]","[""L221""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C219,events completed before other events,past perfect: “had + past participle”,[],"[""P-PERF-001""]","[""L219""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C220,"manufacturing, food chains, and scientific processes",active versus passive voice,[],"[""P-PASS-001""]","[""L116""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C221,sentences containing several possible referents,avoiding vague pronouns by repeating or clarifying the antecedent,[],"[""P-PRON-002""]","[""L287""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C222,explaining related facts in one statement,simple versus compound versus complex sentences,[],"[""P-SENT-001""]","[""L288""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
